City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Grand Gaube,MU,2022-05-29 17:05:57,-20.0064,57.6608,71.38,62,0,4.0,clear sky
166,Juruti,BR,2022-05-29 17:05:57,-2.1522,-56.0922,84.36,70,91,4.79,overcast clouds
167,Kavaratti,IN,2022-05-29 17:05:58,10.5669,72.642,83.32,72,83,5.77,broken clouds
168,Matara,LK,2022-05-29 17:05:58,5.9485,80.5353,78.51,90,99,10.42,overcast clouds
169,Kruisfontein,ZA,2022-05-29 17:05:58,-34.0033,24.7314,53.89,66,51,27.76,light rain
170,Lavrentiya,RU,2022-05-29 17:05:58,65.5833,-171.0,34.63,96,91,4.14,overcast clouds
171,Hasaki,JP,2022-05-29 17:05:59,35.7333,140.8333,64.29,68,0,2.08,clear sky
172,Luderitz,NA,2022-05-29 17:05:59,-26.6481,15.1594,60.62,65,0,22.24,clear sky
173,Ozernovskiy,RU,2022-05-29 17:05:59,51.5,156.5167,41.47,94,58,2.82,broken clouds
174,Olonets,RU,2022-05-29 17:06:00,60.9847,32.9698,49.03,96,100,5.1,overcast clouds
175,Tomatlan,MX,2022-05-29 17:06:00,19.9333,-105.25,88.07,46,86,6.91,overcast clouds
176,Linxia,CN,2022-05-29 17:06:00,35.6003,103.2064,54.91,73,97,3.49,overcast clouds
177,Sassandra,CI,2022-05-29 17:06:01,4.95,-6.0833,82.62,74,31,5.84,scattered clouds
178,Georgetown,MY,2022-05-29 17:06:01,5.4112,100.3354,80.53,89,20,0.0,few clouds
179,Amahai,ID,2022-05-29 17:06:01,-3.3333,128.9167,78.1,84,99,3.78,overcast clouds
180,Valparaiso,CL,2022-05-29 17:06:01,-33.0393,-71.6273,57.43,63,0,10.36,clear sky
181,Bambanglipuro,ID,2022-05-29 17:06:02,-7.95,110.2833,77.18,87,65,3.85,broken clouds
182,Seryshevo,RU,2022-05-29 17:06:02,51.0933,128.3786,56.84,98,100,8.3,moderate rain
183,Margate,GB,2022-05-29 17:06:02,51.3813,1.3862,56.3,69,49,7.0,scattered clouds
184,Saint George,US,2022-05-29 17:04:44,37.1041,-113.5841,78.64,14,0,20.71,clear sky
185,Whitehorse,CA,2022-05-29 17:06:03,60.7161,-135.0538,57.09,47,26,1.01,scattered clouds
186,Presidente Medici,BR,2022-05-29 17:06:03,-11.1753,-61.9014,89.76,48,10,4.18,clear sky
187,Krasnoselkup,RU,2022-05-29 17:06:03,65.7,82.4667,44.51,54,0,14.41,clear sky
188,Cidreira,BR,2022-05-29 17:06:04,-30.1811,-50.2056,62.87,93,100,8.97,light rain
189,Bara,NG,2022-05-29 17:06:04,10.3744,10.7288,97.34,18,88,6.49,overcast clouds
190,Chengde,CN,2022-05-29 17:06:04,40.9725,117.9361,52.5,29,0,2.04,clear sky
191,Kembe,CF,2022-05-29 17:06:05,4.6228,21.8865,76.8,72,73,0.47,broken clouds
192,Souillac,MU,2022-05-29 17:01:05,-20.5167,57.5167,73.72,56,85,19.62,overcast clouds
193,Bathsheba,BB,2022-05-29 17:04:03,13.2167,-59.5167,86.61,66,75,17.27,broken clouds
194,Bac Lieu,VN,2022-05-29 17:06:05,9.285,105.7244,79.7,85,100,10.78,overcast clouds
195,Locri,IT,2022-05-29 17:06:05,38.2414,16.2623,72.88,70,0,5.73,clear sky
196,Acapulco,MX,2022-05-29 17:02:50,16.8634,-99.8901,85.82,66,100,8.05,overcast clouds
197,Ozark,US,2022-05-29 17:06:06,37.0209,-93.206,85.82,64,75,5.99,broken clouds
198,Goderich,CA,2022-05-29 17:06:06,43.7501,-81.7165,69.91,87,97,11.32,overcast clouds
199,Namibe,AO,2022-05-29 17:06:06,-15.1961,12.1522,67.37,79,1,7.38,clear sky
200,Bethel,US,2022-05-29 17:06:07,41.3712,-73.414,77.18,53,0,5.75,clear sky
201,Aklavik,CA,2022-05-29 17:06:07,68.2191,-135.0107,39.2,81,100,4.61,overcast clouds
202,Nikolskoye,RU,2022-05-29 17:06:07,59.7035,30.7861,57.78,72,70,5.06,broken clouds
203,Chuy,UY,2022-05-29 17:06:08,-33.6971,-53.4616,58.6,57,7,13.09,clear sky
204,Naryan-Mar,RU,2022-05-29 17:06:08,67.6713,53.087,59.16,51,9,14.97,clear sky
205,Pangody,RU,2022-05-29 17:06:08,65.85,74.4859,48.15,41,6,18.14,clear sky
206,Joao Camara,BR,2022-05-29 17:06:09,-5.5375,-35.8197,82.35,69,50,10.83,scattered clouds
207,Bengkulu,ID,2022-05-29 17:06:11,-3.8004,102.2655,76.23,90,56,5.21,broken clouds
208,Saqqez,IR,2022-05-29 17:06:12,36.2499,46.2735,60.87,56,92,5.01,overcast clouds
209,Port Hedland,AU,2022-05-29 17:02:35,-20.3167,118.5667,66.25,100,75,17.27,moderate rain
210,Cairns,AU,2022-05-29 17:06:12,-16.9167,145.7667,66.15,97,40,0.0,scattered clouds
211,Slave Lake,CA,2022-05-29 17:01:36,55.2834,-114.769,48.18,87,100,18.41,overcast clouds
212,Honiara,SB,2022-05-29 17:06:12,-9.4333,159.95,76.68,85,35,2.93,scattered clouds
213,Oranjestad,AW,2022-05-29 17:06:13,12.524,-70.027,85.95,66,40,23.02,scattered clouds
214,Itaqui,BR,2022-05-29 17:01:22,-29.1253,-56.5531,60.93,84,92,11.21,overcast clouds
215,New Norfolk,AU,2022-05-29 17:06:13,-42.7826,147.0587,44.1,86,76,2.26,broken clouds
216,Marsabit,KE,2022-05-29 17:06:13,2.3284,37.9899,72.01,47,98,17.47,overcast clouds
217,Qaanaaq,GL,2022-05-29 17:06:14,77.484,-69.3632,25.93,63,100,7.05,overcast clouds
